flight_id,departure_ts,arrival_ts,duration_minutes,duration_hours,is_overnight,departure_hour,airline_key,route_key,flight_date_key,timestamp_parse_issue,non_positive_duration,flight_id_conflict,airline_missing,airline_blank,airline_explicit_unknown,airline_unrecognized,flight_id_format_issue,flight_id_normalization_conflict,source_equals_destination,source_outside_allowlist,destination_outside_allowlist
6F001,2026-04-19T11:33:41.700000,2026-04-19T13:08:41.700000,95.0,1.5833333333333333,0,11,2,22,20260419,0,0,0,0,0,0,0,0,0,0,0,0
6F002,2026-04-17T14:11:41.700000,2026-04-17T17:34:41.700000,203.0,3.3833333333333333,0,14,2,5,20260417,0,0,0,0,0,0,0,0,0,0,0,0
6F003,2026-04-19T20:06:41.700000,2026-04-19T23:13:41.700000,187.0,3.1166666666666667,0,20,2,22,20260419,0,0,0,0,0,0,0,0,0,0,0,0
6F004,2026-04-18T19:53:41.701000,2026-04-18T23:33:41.701000,220.0,3.6666666666666665,0,19,2,7,20260418,0,0,0,0,0,0,0,0,0,0,0,0
6F005,2026-04-19T11:04:41.701000,2026-04-19T15:27:41.701000,263.0,4.383333333333334,0,11,2,10,20260419,0,0,0,0,0,0,0,0,0,0,0,0
6F006,2026-04-18T03:06:41.701000,2026-04-18T05:06:42,120.00498333333333,2.0000830555555553,0,3,2,6,20260418,0,0,0,0,0,0,0,0,0,0,0,0
6F007,2026-04-19T18:55:41.701000,2026-04-19T19:54:41.701000,59.0,0.9833333333333333,0,18,2,25,20260419,0,0,0,0,0,0,0,0,0,0,0,0
6F008,2026-04-18T00:14:41.701000,2026-04-18T04:59:41.701000,285.0,4.75,0,0,2,17,20260418,0,0,0,0,0,0,0,0,0,0,0,0
6F009,2026-04-18T20:21:41.701000,2026-04-18T23:36:41.701000,195.0,3.25,0,20,2,2,20260418,0,0,0,0,0,0,0,0,0,0,0,0
6F010,2026-04-19T23:53:41.701000,2026-04-20T03:44:41.701000,231.0,3.85,1,23,2,16,20260419,0,0,0,0,0,0,0,0,0,0,0,0
6F011,2026-04-17T15:16:41.701000,2026-04-17T17:16:42,120.00498333333333,2.0000830555555553,0,15,2,26,20260417,0,0,0,0,0,0,0,0,0,0,0,0
6F012,2026-04-20T18:06:41.701000,2026-04-20T21:31:41.701000,205.0,3.4166666666666665,0,18,2,14,20260420,0,0,0,0,0,0,0,0,0,0,0,0
6F013,2026-04-19T13:15:41.701000,2026-04-19T18:05:41.701000,290.0,4.833333333333333,0,13,2,7,20260419,0,0,0,0,0,0,0,0,0,0,0,0
6F014,2026-04-19T19:42:41.701000,2026-04-19T23:15:41.701000,213.0,3.55,0,19,2,20,20260419,0,0,0,0,0,0,0,0,0,0,0,0
6F015,2026-04-18T23:39:41.701000,2026-04-19T02:27:41.701000,168.0,2.8,1,23,2,7,20260418,0,0,0,0,0,0,0,0,0,0,0,0
6F016,2026-04-18T22:18:41.701000,2026-04-18T22:54:41.701000,36.0,0.6,0,22,2,22,20260418,0,0,0,0,0,0,0,0,0,0,0,0
6F017,2026-04-20T15:25:41.701000,2026-04-20T18:06:41.701000,161.0,2.683333333333333,0,15,2,12,20260420,0,0,0,0,0,0,0,0,0,0,0,0
6F018,2026-04-20T10:57:41.701000,2026-04-20T11:43:41.701000,46.0,0.7666666666666667,0,10,2,16,20260420,0,0,0,0,0,0,0,0,0,0,0,0
6F019,2026-04-20T00:19:41.701000,2026-04-20T04:14:41.701000,235.0,3.9166666666666665,0,0,2,1,20260420,0,0,0,0,0,0,0,0,0,0,0,0
6F020,2026-04-19T14:58:41.701000,2026-04-19T16:43:41.701000,105.0,1.75,0,14,2,9,20260419,0,0,0,0,0,0,0,0,0,0,0,0
6F021,2026-04-18T21:23:41.701000,2026-04-19T01:25:41.701000,242.0,4.033333333333333,1,21,2,5,20260418,0,0,0,0,0,0,0,0,0,0,0,0
6F022,2026-04-19T21:46:41.701000,2026-04-20T02:05:41.701000,259.0,4.316666666666666,1,21,2,26,20260419,0,0,0,0,0,0,0,0,0,0,0,0
6F023,2026-04-18T20:18:41.701000,2026-04-19T00:14:41.701000,236.0,3.933333333333333,1,20,2,26,20260418,0,0,0,0,0,0,0,0,0,0,0,0
6F024,2026-04-19T07:31:41.701000,2026-04-19T11:17:41.701000,226.0,3.7666666666666666,0,7,2,8,20260419,0,0,0,0,0,0,0,0,0,0,0,0
6F025,2026-04-20T23:02:41.701000,2026-04-20T23:57:41.701000,55.0,0.9166666666666666,0,23,2,1,20260420,0,0,0,0,0,0,0,0,0,0,0,0
6F026,2026-04-20T22:46:42,2026-04-21T03:13:42,267.0,4.45,1,22,2,7,20260420,0,0,0,0,0,0,0,0,0,0,0,0
6F027,2026-04-18T16:52:41.701000,2026-04-18T18:21:41.701000,89.0,1.4833333333333334,0,16,2,3,20260418,0,0,0,0,0,0,0,0,0,0,0,0
6F028,2026-04-20T19:49:41.701000,2026-04-20T21:49:41.701000,120.0,2.0,0,19,2,23,20260420,0,0,0,0,0,0,0,0,0,0,0,0
6F029,2026-04-20T07:31:41.701000,2026-04-20T11:45:41.701000,254.0,4.233333333333333,0,7,2,6,20260420,0,0,0,0,0,0,0,0,0,0,0,0
6F030,2026-04-20T14:20:41.701000,2026-04-20T17:10:41.701000,170.0,2.8333333333333335,0,14,2,8,20260420,0,0,0,0,0,0,0,0,0,0,0,0
6F031,2026-04-20T02:00:41.701000,2026-04-20T06:37:41.701000,277.0,4.616666666666666,0,2,2,6,20260420,0,0,0,0,0,0,0,0,0,0,0,0
6F032,2026-04-17T23:43:41.701000,2026-04-18T02:22:41.701000,159.0,2.65,1,23,2,17,20260417,0,0,0,0,0,0,0,0,0,0,0,0
6F033,2026-04-18T07:08:41.701000,2026-04-18T09:08:41.701000,120.0,2.0,0,7,2,19,20260418,0,0,0,0,0,0,0,0,0,0,0,0
6F034,2026-04-20T11:53:41.701000,2026-04-20T12:49:41.701000,56.0,0.9333333333333333,0,11,2,8,20260420,0,0,0,0,0,0,0,0,0,0,0,0
6F035,2026-04-18T19:16:41.701000,2026-04-18T23:40:41.701000,264.0,4.4,0,19,2,14,20260418,0,0,0,0,0,0,0,0,0,0,0,0
6F036,2026-04-20T02:14:41.701000,2026-04-20T06:57:41.701000,283.0,4.716666666666667,0,2,2,11,20260420,0,0,0,0,0,0,0,0,0,0,0,0
6F037,2026-04-18T14:51:41.701000,2026-04-18T17:23:41.701000,152.0,2.533333333333333,0,14,2,10,20260418,0,0,0,0,0,0,0,0,0,0,0,0
6F038,2026-04-19T15:36:41.701000,2026-04-19T19:33:41.701000,237.0,3.95,0,15,2,25,20260419,0,0,0,0,0,0,0,0,0,0,0,0
6F039,2026-04-18T16:43:41.701000,2026-04-18T21:01:41.701000,258.0,4.3,0,16,2,28,20260418,0,0,0,0,0,0,0,0,0,0,0,0
6F040,2026-04-17T15:52:41.701000,2026-04-17T20:33:41.701000,281.0,4.683333333333334,0,15,2,23,20260417,0,0,0,0,0,0,0,0,0,0,0,0
6F041,2026-04-19T13:19:41.701000,2026-04-19T16:48:41.701000,209.0,3.4833333333333334,0,13,2,27,20260419,0,0,0,0,0,0,0,0,0,0,0,0
