passenger_token,age_band,gender,source_record_count,record_conflict,identity_contact_conflict,passenger_id_normalization_collision,age_conflict,gender_conflict,age_unresolved,gender_unresolved
0020e9ac60e57d1a19ecf2d61643f6607cfb2539f5aaa201e033f5ae21d425b7,60–120,MALE,1,0,0,0,0,0,0,0
0027d219fbef688633c3e47829c58580593801071a183da7e3aa31501cd1877c,0–17,FEMALE,1,0,0,0,0,0,0,0
00641668e13c5cea251c3de3f02b90dd52eae48107e3d2a1f893ca4ae99c86c1,0–17,MALE,1,0,0,0,0,0,0,0
00fc716b177e33f53286b7447e6a35b14c08494c4c5ca1b17770d500bf9ec951,0–17,MALE,1,0,0,0,0,0,0,0
012d0d3fc7439983a36908b8423c48da145bcedd7a4f3ab2f05188c219b4ca47,60–120,MALE,1,0,0,0,0,0,0,0
0130917badb0a36ec53468a723114ad4193440b9602a6e9e094083847c17de6e,60–120,FEMALE,1,0,0,0,0,0,0,0
013dda053522ef133bc994de7646c96a8c3f36494653799d5876ef00b31d1d47,45–59,FEMALE,1,0,0,0,0,0,0,0
0164aeddc4e75fac4e57c74cd7a41359fdc350e0ade60be7d657ca383683395f,18–29,MALE,1,0,0,0,0,0,0,0
01c1cecdec1ba14eac9183a08203e36396ebe03422bb80b150b3aed4598fd252,60–120,MALE,1,0,0,0,0,0,0,0
020d5f8d7d5c8127540fe902d398cda61532bd4ba89e18fe1a2e8f58279af2bd,0–17,MALE,1,0,0,0,0,0,0,0
023877d4aa39d3d0c3f7f025e748b4c85ac167eea673d48452f1aa4e7eeccb80,0–17,MALE,1,0,0,0,0,0,0,0
026c6920eff48cc8f026d7123189c926af8efbeec9865ead8b6df56df1195d0f,30–44,FEMALE,1,0,0,0,0,0,0,0
026e088b0bcf1d08572084641b5807994c4280d47c5f02d98fd713db59fe90a3,18–29,FEMALE,1,0,0,0,0,0,0,0
02cce0a8df12fe9fdb172f3c12827671fc6e51df30603b145b63b2193f6b1f84,18–29,MALE,1,0,0,0,0,0,0,0
0306e3b2f0999d3add62ce1737c6fd3160245e92614bdbb30989e9214555e0db,60–120,MALE,1,0,0,0,0,0,0,0
031c5134c2d4f5f69ac66e3018fbaa129ba0650edbc7455342013cf67d99d973,0–17,FEMALE,1,0,0,0,0,0,0,0
036be855182559e9c8d0866c8bd2691a883c27a95d806d62fdb3c97d9777a8c2,45–59,MALE,1,0,0,0,0,0,0,0
03a9b7896a0e70bb1b3f979860e7c56140c6045a23c8a90cbe877444409701a4,30–44,MALE,1,0,0,0,0,0,0,0
03d339d80b80775541d663a0ed9249753f0e243f583232a25865c231e4790033,60–120,MALE,1,0,0,0,0,0,0,0
043a93c40635a44dc90f942de3f4757d4bce8a79f37fcb8f73fdb7a9474a357b,60–120,MALE,1,0,0,0,0,0,0,0
04881ef91182c1d1ed1f872ad071637f79279b737959d430ef357f54fc10260e,60–120,MALE,1,0,0,0,0,0,0,0
0509168be3071f3e8b641e69e6385c059a39b90d6edec83b744eafd59a4a29e2,30–44,MALE,1,0,0,0,0,0,0,0
05108a7e1a4af816fbaa3e9ec778692a5ab97c4bb2c7aced12d46c8d54a96b61,60–120,FEMALE,1,0,0,0,0,0,0,0
